Position_Eng_Srce;Sector_1;Sector_2;Occupation_Category;Occupation_Subcategory;Occupation_Detail;Typology_Source
Drill instructor;ADMINISTRATION;GOVERNMENT;Other categories;Army and police;;Both
Druggist;TRADE;PROFESSIONAL;Professionals and senior executives;Professionals;;Both
Druggists;TRADE;PROFESSIONAL;Professionals and senior executives;Professionals;;SMC
Dyer;INDUSTRY;CHEMICAL INDUSTRY;Workers;Skilled workers;;Both
Dyers;INDUSTRY;CHEMICAL INDUSTRY;Workers;Skilled workers;;SMC
Editor;;;Professionals and senior executives;Professional;Editor;Typo_positions
Egg dealers;TRADE;RETAIL TRADE;Trade and Industry Business Owners;Wholesale traders;;Both
Electrical instruments makers;INDUSTRY;OTHER INDUSTRY;Trade and Industry Business Owners;Manufacturer;;Both
Electrician;INDUSTRY;HANDICRAFT PRODUCTION;Workers;Skilled workers;;Both
Electricity supply worker;INDUSTRY;PUBLIC UTILITY;Workers;Skilled workers;;SMC
Electricity supply workers;INDUSTRY;PUBLIC UTILITY;Workers;Skilled workers;;Both
Electro-plater;INDUSTRY;HANDICRAFT PRODUCTION;Workers;Skilled workers;;Both
Electro-platers;INDUSTRY;HANDICRAFT PRODUCTION;Workers;Skilled workers;;SMC
Embroiderer;INDUSTRY;TEXTILE INDUSTRY;Workers;Skilled workers;;Both
Embroiderers;INDUSTRY;TEXTILE INDUSTRY;Workers;Skilled workers;;SMC
Employment agent;SERVICE;SERVICE;Trade and Industry Business Owners;Small traders;;Both
Employment agents;SERVICE;SERVICE;Trade and Industry Business Owners;Small traders;;SMC
Engineer;;;Professionals and senior executives;Professional;Engineer;Typo_positions
Engineer, machinist and shipbuilder;INDUSTRY;MACHINERY AND METAL PRODUCTS;Professionals and senior executives;Engineers;;Both
Engineers;INDUSTRY;MACHINERY AND METAL PRODUCTS;Professionals and senior executives;Engineers;;Both
Engraver;INDUSTRY;HANDICRAFT PRODUCTION;Workers;Skilled workers;;Both
Entertainers and actors;SERVICE;ENTERTAINMENT SERVICES;Other categories;Artists and other;;Both
Entomologist;SERVICE;EDUCATION AND SCIENCE;Professionals and senior executives;Professors, literary and scientific professions;;Both
Executive Secretary;;;Professionals and senior executives;Organization executive;Secretary;Typo_positions
Factory executives;INDUSTRY;INDUSTRY;Professionals and senior executives;Senior administrative executives;;Both
Factory Representative;;;Professionals and senior executives;Business agent;Department representative;Typo_positions
Factory staff;INDUSTRY;TEXTILE INDUSTRY;Employees;Office workers;;Both
Factory worker;INDUSTRY;INDUSTRY;Workers;Laborers;;SMC
Factory Workers;INDUSTRY;INDUSTRY;Workers;Laborers;;Both
Far Eastern Manager;;;Middle managers;Manager;Local manager;Typo_positions
Farmer;AGRICULTURE AND GARDENING;AGRICULTURE AND GARDENING;Farmers and gardeners;Farmers and gardeners;;Both
Farmers;AGRICULTURE AND GARDENING;AGRICULTURE AND GARDENING;Farmers and gardeners;Farmers and gardeners;;SMC
Farrier;TRADE;HANDICRAFT PRODUCTION;Trade and Industry Business Owners;Craftsmen;;Both
Financial administration staff;SERVICE;FINANCE AND INSURANCE;Employees;Office workers;;Both
Financier;SERVICE;FINANCE AND INSURANCE;Trade and Industry Business Owners;Wholesale traders;;Both
