Position_Eng_Srce;Source
Acting Consul for Great Britain;Asia Directory & Chronicle
Acting Consul for Italy;Asia Directory & Chronicle
Acting Consul for Netherlands;Asia Directory & Chronicle
Acting Consul for Norway;Asia Directory & Chronicle
Acting Consul for Russia;Asia Directory & Chronicle
Acting Consul General;Asia Directory & Chronicle
Acting Consul General for Austria-Hungary;Asia Directory & Chronicle
Acting Consul General for Japan;Asia Directory & Chronicle
Acting Consul General for Sweden;Asia Directory & Chronicle
Acting Controller;Asia Directory & Chronicle
Acting Crown Advocate;Asia Directory & Chronicle
Acting Deputy Coast Inspector;Asia Directory & Chronicle
Acting Deputy Commissary;Asia Directory & Chronicle
Acting Deputy Commissioner;Asia Directory & Chronicle
Acting Deputy Harbour Master;Asia Directory & Chronicle
Acting Deputy Inspector;Asia Directory & Chronicle
Acting Deputy Postal Commissioner;Asia Directory & Chronicle
Acting Deputy Registrar;Asia Directory & Chronicle
Acting Deputy Registrar and Accountant;Asia Directory & Chronicle
Acting Deputy Superintendent;Asia Directory & Chronicle
Acting Deputy-Commissioner;Asia Directory & Chronicle
Acting Depy. Treasurer;Asia Directory & Chronicle
Acting Director;Asia Directory & Chronicle
Acting District Engineer;Asia Directory & Chronicle
Acting District Manager;Asia Directory & Chronicle
Acting District Officer;Asia Directory & Chronicle
Acting Division Manager;Asia Directory & Chronicle
Acting Engineer;Asia Directory & Chronicle
Acting Engineer In Chief;Asia Directory & Chronicle
Acting Fire Manager;Asia Directory & Chronicle
Acting First Assistant;Asia Directory & Chronicle
Acting First Clerk;Asia Directory & Chronicle
Acting First Engineer;Asia Directory & Chronicle
Acting First Officer;Asia Directory & Chronicle
Acting First Secretary;Asia Directory & Chronicle
Acting French Consul;Asia Directory & Chronicle
Acting General Manager;Asia Directory & Chronicle
Acting German Consul;Asia Directory & Chronicle
Acting Godown Keeper;Asia Directory & Chronicle
Acting Gunner;Asia Directory & Chronicle
Acting Harbour Master;Asia Directory & Chronicle
Acting Harbour Master and Tide Surveyor;Asia Directory & Chronicle
Acting Headmaster;Asia Directory & Chronicle
Acting Inspector;Asia Directory & Chronicle
Acting Inspector of Examiners;Asia Directory & Chronicle
Acting Inspector of Lights;Asia Directory & Chronicle
Acting Inspector of Markets;Asia Directory & Chronicle
Acting Inspector of Police;Asia Directory & Chronicle
Acting Interpreter;Asia Directory & Chronicle
Acting Interpreter and Translator;Asia Directory & Chronicle
Acting Interpreter In Charge;Asia Directory & Chronicle
Acting Judge;Asia Directory & Chronicle
Acting Leading Man of Fitters;Asia Directory & Chronicle
Acting Leading Man of Storehouses;Asia Directory & Chronicle
Acting Leading-Man of Boilermakers;Asia Directory & Chronicle
Acting Lightkeeper;Asia Directory & Chronicle
Acting Local Manager;Asia Directory & Chronicle
Acting Locomotive Inspector;Asia Directory & Chronicle
Acting Locomotive Superintendent;Asia Directory & Chronicle
Acting Magistrate;Asia Directory & Chronicle
Acting Manager;Asia Directory & Chronicle
Acting Manager In China;Asia Directory & Chronicle
Acting Marine Superintendent;Asia Directory & Chronicle
Acting Marine Surveyor;Asia Directory & Chronicle
Acting Marshall;Asia Directory & Chronicle
Acting Master;Asia Directory & Chronicle
Acting Master Attendant;Asia Directory & Chronicle
Acting Mate;Asia Directory & Chronicle
Acting Mate Lightship;Asia Directory & Chronicle
Acting Military Chaplain;Asia Directory & Chronicle
Acting Paymaster;Asia Directory & Chronicle
Acting Pensions Chief Accountant;Asia Directory & Chronicle
Acting Personal Secretary;Asia Directory & Chronicle
Acting Physician;Asia Directory & Chronicle
Acting Police Magistrate;Asia Directory & Chronicle
Acting Police Magistrate and Registrar;Asia Directory & Chronicle
Acting Postal Commissioner;Asia Directory & Chronicle
Acting Postal Officer;Asia Directory & Chronicle
Acting Postal Secretary;Asia Directory & Chronicle
Acting Postmaster-General;Asia Directory & Chronicle
Acting Preventive Deputy Commissioner;Asia Directory & Chronicle
Acting Principal;Asia Directory & Chronicle
Acting Private Secretary;Asia Directory & Chronicle
Acting Private Secretary and Accountant;Asia Directory & Chronicle
Acting Procureur-Gencral;Asia Directory & Chronicle
Acting Professor of Chemistry;Asia Directory & Chronicle
Acting Puisne Judge;Asia Directory & Chronicle
Acting Regimental Sergeant-Major;Asia Directory & Chronicle
Acting Regimental Sergt.-Major;Asia Directory & Chronicle
Acting Registrar;Asia Directory & Chronicle
Acting Resident Manager;Asia Directory & Chronicle
Acting River Inspector;Asia Directory & Chronicle
Acting River Police Inspector;Asia Directory & Chronicle
Acting Russian Consul;Asia Directory & Chronicle
Acting Russian Consul and Postmaster;Asia Directory & Chronicle
Acting Sanatary Inspector;Asia Directory & Chronicle
Acting Sanitary Inspector;Asia Directory & Chronicle
Acting Second Engineer;Asia Directory & Chronicle
Acting Second Mate;Asia Directory & Chronicle
Acting Second Officer;Asia Directory & Chronicle
Acting Secretary;Asia Directory & Chronicle
Acting Secretary Interpreter;Asia Directory & Chronicle
Acting Staff Secretary;Asia Directory & Chronicle
Acting Sub-Accountant;Asia Directory & Chronicle
Acting Sub-Lieutenant;Asia Directory & Chronicle
Acting Sub-Manager;Asia Directory & Chronicle
Acting Superintendent;Asia Directory & Chronicle
Acting Superintendent Carpenter;Asia Directory & Chronicle
Acting Superintendent Engineer;Asia Directory & Chronicle
Acting Supervisor;Asia Directory & Chronicle
Acting Surveyor;Asia Directory & Chronicle
Acting Teacher of Russian;Asia Directory & Chronicle
Acting Teacher T’Ung Wen Kwan;Asia Directory & Chronicle
Acting Third Assistant;Asia Directory & Chronicle
Acting Third Engineer;Asia Directory & Chronicle
Acting Tide Surveyor;Asia Directory & Chronicle
Acting Tidewaiter;Asia Directory & Chronicle
Acting Traffic Manager;Asia Directory & Chronicle
Acting Vice-Consul;Asia Directory & Chronicle
Acting Vice-Consul for Sweden;Asia Directory & Chronicle
Acting Wharf Superintendent;Asia Directory & Chronicle
Actuary;Asia Directory & Chronicle
Addido Escrivao;Asia Directory & Chronicle
Adjudant;Asia Directory & Chronicle
Adjudant-Major;Asia Directory & Chronicle
Adjudante;Asia Directory & Chronicle
Adjudante de Campo;Asia Directory & Chronicle
Adjuster;Asia Directory & Chronicle
Adjutant of Police;Asia Directory & Chronicle
Administrador;Asia Directory & Chronicle
Administrateur;Asia Directory & Chronicle
Administrateur Adjoint;Asia Directory & Chronicle
Administrateur Delegue;Asia Directory & Chronicle
Administrateur nn Chef du Territoire;Asia Directory & Chronicle
Administrative Deputy Commissioner;Asia Directory & Chronicle
Administratrice;Asia Directory & Chronicle
Administratrix;Asia Directory & Chronicle
Advertising Agent;Asia Directory & Chronicle
Advertising Manager;Asia Directory & Chronicle
Adviser Revenue Matters;Asia Directory & Chronicle
Adviser To Chinese Government;Asia Directory & Chronicle
Adviser To Ministry of Finance;Asia Directory & Chronicle
Adviser To the Chinese Government;Asia Directory & Chronicle
Advisor;Asia Directory & Chronicle
Advocate;Asia Directory & Chronicle
Advogado;Asia Directory & Chronicle
Advogado E Director;Asia Directory & Chronicle
Aerated Water Manufacturer;Asia Directory & Chronicle
Aeronautical Engineer;Asia Directory & Chronicle
Agency Director;Asia Directory & Chronicle
Agency Inspector;Asia Directory & Chronicle
Agency Manager;Asia Directory & Chronicle
Agent and Attorney;Asia Directory & Chronicle
Agent and Broker;Asia Directory & Chronicle
Agent and Correspondent;Asia Directory & Chronicle
Agent and Engineer;Asia Directory & Chronicle
Agent and General Manager;Asia Directory & Chronicle
Agent and Manager;Asia Directory & Chronicle
Agent and Surveyor;Asia Directory & Chronicle
Agent and Tea Inspector;Asia Directory & Chronicle
Agent de Transports;Asia Directory & Chronicle
Agent for China;Asia Directory & Chronicle
Agent General and Engineer In Chief;Asia Directory & Chronicle
Agent Government Treasury Department;Asia Directory & Chronicle
Agent In China;Asia Directory & Chronicle
Agent Insurance Offices;Asia Directory & Chronicle
Agent Principal;Asia Directory & Chronicle
Agent Voyer;Asia Directory & Chronicle
Agente;Asia Directory & Chronicle
Agente Addido;Asia Directory & Chronicle
Agricultural Adviser;Asia Directory & Chronicle
Agricultural Secretary;Asia Directory & Chronicle
Agronomist;Asia Directory & Chronicle
Aide de Camp;Asia Directory & Chronicle
Aiferes;Asia Directory & Chronicle
Air-Brake Inspector;Asia Directory & Chronicle
Ajudante Carcereiro;Asia Directory & Chronicle
Ajudante de Campo;Asia Directory & Chronicle
Albumen Manufacturer;Asia Directory & Chronicle
Alexander;Asia Directory & Chronicle
Alferes;Asia Directory & Chronicle
Alferes de Infanteria;Asia Directory & Chronicle
Amanuense;Asia Directory & Chronicle
Dentist;Asia Directory & Chronicle
Missionary;Asia Directory & Chronicle
Resident;Asia Directory & Chronicle
Analyst;Asia Directory & Chronicle
Analytical Chemist;Asia Directory & Chronicle
Ancien Procureur General;Asia Directory & Chronicle
Ancien Procureur-Général;Asia Directory & Chronicle
Andersen;Asia Directory & Chronicle
Anglican Chaplain;Asia Directory & Chronicle
Anglo-Chinese School;Asia Directory & Chronicle
Apontador;Asia Directory & Chronicle
Apothecary;Asia Directory & Chronicle
Apotheker;Asia Directory & Chronicle
Appraiser;Asia Directory & Chronicle
Apprentice Engineer;Asia Directory & Chronicle
Arbitrator;Asia Directory & Chronicle
Archdeacon;Asia Directory & Chronicle
Architect;Asia Directory & Chronicle
Architect and Civil Engineer;Asia Directory & Chronicle
Architect and Director;Asia Directory & Chronicle
Architect and Engineer;Asia Directory & Chronicle
Architect and Estate Agent;Asia Directory & Chronicle
Architect and Surveyor;Asia Directory & Chronicle
Architect, Civil Engineer and Surveyor;Asia Directory & Chronicle
Architects and Engineers;Asia Directory & Chronicle
Architectural Assistant;Asia Directory & Chronicle
Architectural Draughtsman;Asia Directory & Chronicle
Architectural Section;Asia Directory & Chronicle
Archivist;Asia Directory & Chronicle
Armourer;Asia Directory & Chronicle
Army and Navy Contractor;Asia Directory & Chronicle
Army Contractor;Asia Directory & Chronicle
Army Instructor;Asia Directory & Chronicle
Army Medical Staff;Asia Directory & Chronicle
Army Service Corps;Asia Directory & Chronicle
Art Director;Asia Directory & Chronicle
Articled Clerk;Asia Directory & Chronicle
Artificer;Asia Directory & Chronicle
Artificer Engineer;Asia Directory & Chronicle
Artificier;Asia Directory & Chronicle
Artillery Officer;Asia Directory & Chronicle
Artist and Photographer;Asia Directory & Chronicle
Artist, Correspondent;Asia Directory & Chronicle
Artistic Director;Asia Directory & Chronicle
Artistic Superintendent;Asia Directory & Chronicle
Aspirante;Asia Directory & Chronicle
Assayer;Asia Directory & Chronicle
Assessor Attached;Asia Directory & Chronicle
Assessor of Rates;Asia Directory & Chronicle
Assistant  Surgeon;Asia Directory & Chronicle
Assistant Accountant;Asia Directory & Chronicle
Assistant Accountant and Cashier;Asia Directory & Chronicle
Assistant Agent General;Asia Directory & Chronicle
Assistant Analyst;Asia Directory & Chronicle
Assistant and Acting Interpreter;Asia Directory & Chronicle
Assistant and Acting Postal Secretary;Asia Directory & Chronicle
Assistant and Medical Officer;Asia Directory & Chronicle
Assistant and Post-Office Agent;Asia Directory & Chronicle
Assistant and Postal Agent;Asia Directory & Chronicle
Assistant and Private Secretary;Asia Directory & Chronicle
Assistant and Pro-Consul;Asia Directory & Chronicle
